input_brand,url,h1_text,parsed_brand,parsed_count,brand_slug
,https://auto.ria.com/uk/car/jianshe/,12 оголошень про продаж Jianshe,12 Оголошень Про Jianshe,12,jianshe
,https://auto.ria.com/uk/car/dnepr/,17 оголошень про продаж Днепр,17 Оголошень Про Днепр,17,dnepr
,https://auto.ria.com/uk/car/dnipro/,37 оголошень про продаж Дніпро,37 Оголошень Про Дніпро,37,dnipro
,https://auto.ria.com/uk/car/dnepr-kmz/,234 оголошення про продаж Днепр (КМЗ),234 Про Днепр,234,dnepr-kmz
,https://auto.ria.com/uk/car/dogan/,9 оголошень про продаж Dogan,9 Оголошень Про Dogan,9,dogan
,https://auto.ria.com/uk/car/dromech/,13 оголошень про продаж Dromech,13 Оголошень Про Dromech,13,dromech
,https://auto.ria.com/uk/car/ds/,1 оголошення про продаж ДС,1 Про Дс,1,ds
,https://auto.ria.com/uk/car/doosan/,28 оголошень про продаж Doosan,28 Оголошень Про Doosan,28,doosan
,https://auto.ria.com/uk/car/everlast/,18 оголошень про продаж Everlast,18 Оголошень Про Everlast,18,everlast
,https://auto.ria.com/uk/car/exdrive/,25 оголошень про продаж Exdrive,25 Оголошень Про Exdrive,25,exdrive
,https://auto.ria.com/uk/car/electric-scooter/,14 оголошень про продаж Electric Scooter,14 Оголошень Про Electric Scooter,14,electric-scooter
,https://auto.ria.com/uk/car/enerco/,14 оголошень про продаж ENERCO,14 Оголошень Про Enerco,14,enerco
,https://auto.ria.com/uk/car/eos/,13 оголошень про продаж EOS,13 Оголошень Про Eos,13,eos
,https://auto.ria.com/uk/car/sdc/,29 оголошень про продаж SDC,29 Оголошень Про Sdc,29,sdc
,https://auto.ria.com/uk/car/zaz/,4 200+ оголошень про продаж ЗАЗ,4 200+ Оголошень Про Заз,,zaz
,https://auto.ria.com/uk/car/luaz/,96 оголошень про продаж ЛуАЗ,96 Оголошень Про Луаз,96,luaz
,https://auto.ria.com/uk/car/zaslaw/,39 оголошень про продаж Zaslaw,39 Оголошень Про Zaslaw,39,zaslaw
,https://auto.ria.com/uk/car/zil/,252 оголошення про продаж ЗИЛ,252 Про Зил,252,zil
,https://auto.ria.com/uk/car/zontes/,40 оголошень про продаж Zontes,40 Оголошень Про Zontes,40,zontes
,https://auto.ria.com/uk/car/zremb/,21 оголошення про продаж Zremb,21 Про Zremb,21,zremb
,https://auto.ria.com/uk/car/zx/,17 оголошень про продаж ZX,17 Оголошень Про Zx,17,zx
,https://auto.ria.com/uk/car/kazanka/,51 оголошення про продаж Казанка,51 Про Казанка,51,kazanka
,https://auto.ria.com/uk/car/kayo/,118 оголошень про продаж Kayo,118 Оголошень Про Kayo,118,kayo
,https://auto.ria.com/uk/car/kamaz/,448 оголошень про продаж КамАЗ,448 Оголошень Про Камаз,448,kamaz
,https://auto.ria.com/uk/car/cardi/,12 оголошень про продаж Cardi,12 Оголошень Про Cardi,12,cardi
,https://auto.ria.com/uk/car/carnehl/,58 оголошень про продаж Carnehl,58 Оголошень Про Carnehl,58,carnehl
,https://auto.ria.com/uk/car/kassbohrer/,68 оголошень про продаж Kassbohrer,68 Оголошень Про Kassbohrer,68,kassbohrer
,https://auto.ria.com/uk/car/krym/,54 оголошення про продаж Крим,54 Про Крим,54,krym
,https://auto.ria.com/uk/car/sea-ray/,10 оголошень про продаж Sea Ray,10 Оголошень Про Sea Ray,10,sea-ray
,https://auto.ria.com/uk/car/kelberg/,27 оголошень про продаж Kelberg,27 Оголошень Про Kelberg,27,kelberg
,https://auto.ria.com/uk/car/kempf/,56 оголошень про продаж Kempf,56 Оголошень Про Kempf,56,kempf
,https://auto.ria.com/uk/car/case-construction/,21 оголошення про продаж Case Construction,21 Про Case Construction,21,case-construction
,https://auto.ria.com/uk/car/knapen/,14 оголошень про продаж Knapen,14 Оголошень Про Knapen,14,knapen
